authors,title,year,source_title,doi,abstract,cited_by
"Karasova D., Crhanova M., Babak V., Jerabek M., Brzobohaty L., Matesova Z., Rychlik I.",Development of piglet gut microbiota at the time of weaning influences development of postweaning diarrhea – A field study,2021,Research in Veterinary Science,10.1016/j.rvsc.2020.12.022,"Postweaning diarrhea is a common issue in pig production which is currently controlled by feed supplementation with zinc oxide. However, new alternatives are being sought due to an expected ban on zinc oxide in feed supplementation from 2022 in the EU. One possible alternative is to use novel types of probiotics consisting of microbiota characteristic for healthy weaned piglets. In this study, we therefore collected rectal swabs of piglets 3 days before weaning and 4 days after weaning in a commercial farm considering all risks of field trial like the use of antibiotics, classified the piglets as predisposed, healthy or sick and using 16S rRNA sequencing, we determined and compared the microbiota composition. Increased Actinobacteria before weaning was a marker of piglets predisposed for diarrhea. Increased Chlamydia or Helicobacter before weaning was surprisingly a marker of healthy and resistant piglets after weaning. After weaning, unclassified Clostridiales, Deltaproteobacteria, Selenomonadales, Fusobacterium, Akkermansia or Anaerovibrio increased in microbiota of piglets with postweaning diarrhea while an increase in Prevotella and Faecalibacterium was characteristic for healthy, weaned piglets. Both changes in individual microbiota members and also correct timing of microbiota reshaping around weaning and the increase of mainly Prevotella species just after weaning are equally important for resistance to postweaning diarrhea in piglets under field conditions. © 2020 Elsevier Ltd",8.0
"Wei C., Wang X., Li C., Zhou H., Liu C., Mai K., He G.","Effects of dietary Shewanella sp. MR-7 on the growth performance, immunity, and intestinal microbiota of Pacific white shrimp",2021,Aquaculture Reports,10.1016/j.aqrep.2021.100595,"The practice of adding probiotics in shrimp diet has increased significantly because of its beneficial effects on growth performance and disease resistance. However, little attention has been paid to marine-derived probiotics, which might be more suitable for aquatic animals. In the present study, an 8-week feeding trial was carried out to explore the effects of Shewanella sp. MR-7 in shrimp diet. Three concentrations of Shewanella sp. MR-7 (SS-MR-7, 106 colony forming units (CFU)/g diet, F1; 107 CFU/g diet, F2; 108 CFU/g diet, F3) were added to the basal diet (F0) of Pacific white shrimp. At the end of the trial, an acute ammonia stress test was performed. The results showed that supplementation with 107 CFU SS-MR-7 per g diet significantly improved shrimp weight gained and specific growth rate. A significantly higher shrimp survival rate was also observed in the F2 group after acute ammonia stress. Meanwhile, dietary SS-MR-7 induced the hepatopancreatic mRNA expression of antioxidation-related genes encoding heat shock protein 70, thioredoxin 1, and glutathione peroxidase, as well as immunity-related genes, such as those encoding lipopolysaccharide and beta-1,3-glucan-binding protein, prophenoloxidase activating factor, and prophenoloxidase. Furthermore, the intestinal microbiota was responsive to the diets. The abundance of the beneficial bacteria Pseudomonas was enriched, while the contents of potential pathogens (such as Bacteroides and Escherichia-shigella) decreased. Overall, our results indicate that SS-MR-7 could be an effective probiotic in shrimp culture as it increase growth performance, immunity and the abundance of intestinal beneficial bacterial. © 2021",3.0
"Wang G., Pan R., Liang X., Wu X., Wu Y., Zhang H., Zhao J., Chen W.",Perfluorooctanoic acid-induced liver injury is potentially associated with gut microbiota dysbiosis,2021,Chemosphere,10.1016/j.chemosphere.2020.129004,"Perfluorooctanoic acid (PFOA), an environmental pollutant, is widely engaged in industrial products and tends to accumulate in the liver. Emerging evidence has suggested that the gut microbiome is a pivotal player in maintaining animal health and can potentially altered by xenobiotic. However, few studies explored whether PFOA-induced liver injury is associated with gut microbiota dysbiosis. In the present study, the effects of subacute and subchronic PFOA exposure on liver and gut microbiota in C57BL/6J mice were investigated. Our findings showed that both subacute and subchronic exposure to PFOA induced the liver inflammation, disrupted antioxidative homeostasis and caused liver histological abnormalities with detectable hepatomegaly, ultimately triggering liver injury. Besides, 16S rRNA sequencing analysis revealed that subacute PFOA exposure caused significant changes in the abundances of intestinal flora known to contribute to liver inflammation and oxidative stress, such as the Dehalobacterium and Bacteroides genera. Exposure to subchronic toxicity mainly induced the decrease in commensal probiotics including Lactobacillus and Bifidobacterium genera, which are potentially beneficial to liver damage, compared with that in the untreated group. They also resulted in disturbed functional capabilities of the microbial communities by a Phylogenetic Investigation of Communities by Reconstruction of Unobserved States (PICRUSt) analysis. Additionally, the levels of short-chain fatty acids (SCFAs), especially butyric acid, were significantly reduced by PFOA administration. Collectively, our observations suggested that liver damage induced by both subacute and subchronic PFOA exposures probably partly related to the gut microbiota dysbiosis and provided a new insight into the role of PFOA in liver injury. © 2020 Elsevier Ltd",13.0
"Tang B., Tang L., Huang C., Tian C., Chen L., He Z., Yang G., Zuo L., Zhao G., Liu E., Wang S., Lin H., He J., Yang S.",The Effect of Probiotics Supplementation on Gut Microbiota After Helicobacter pylori Eradication: A Multicenter Randomized Controlled Trial,2021,Infectious Diseases and Therapy,10.1007/s40121-020-00372-9,"Introduction: Helicobacter pylori eradication therapy may lead to the perturbation of gut microbiota. We aim to investigate the impact of probiotics on eradication rate and gut microbiota during eradication therapy. Methods: A total of 162 patients receiving bismuth quadruple therapy were enrolled and randomly assigned to groups given probiotics (n = 83) or placebo (n = 79) for 4 weeks. Fecal samples were collected before treatment and 2, 4, 6, and 8 weeks after eradication therapy. Gut microbiota was analyzed by 16S rRNA high-throughput sequencing. Results: The eradication rates in the placebo and probiotics group were 82.43% and 87.01%, respectively (P > 0.05). Compared with baseline, alpha and beta diversity was significantly altered 2 weeks after eradication in both groups, which was restored at week 8. There were no significant differences in diversity between the two groups. H. pylori eradication therapy resulted in enrichment of some detrimental bacteria taxa such as Shigella, Klebsiella, and Streptococcus, while probiotics supplementation could rapidly restore these taxa levels after eradication and increase the taxa of Bacillus and Lactobacillales. Functional analysis revealed that lipopolysaccharide biosynthesis and polymyxin resistance pathways were significantly enriched after eradication, while probiotics supplementation mainly enriched the cofactors and vitamins metabolism pathways. Increased relative abundances of Roseburia and Dialister were associated with the positive eradication outcome. Conclusions: Probiotics supplementation might help to construct a beneficial profile of gut microbiota after eradication therapy. Specific bacteria taxa are associated with H. pylori eradication outcome. These findings may be of value in rational use of probiotics during H. pylori eradication. Trial Registration: Chinese Clinical Trial Registry, ChiCTR1900022116. © 2020, The Author(s).",6.0
"Devi T.B., Devadas K., George M., Gandhimathi A., Chouhan D., Retnakumar R.J., Alexander S.M., Varghese J., Dharmaseelan S., Chandrika S.K., Jissa V.T., Das B., Nair G.B., Chattopadhyay S.",Low Bifidobacterium Abundance in the Lower Gut Microbiota Is Associated With Helicobacter pylori-Related Gastric Ulcer and Gastric Cancer,2021,Frontiers in Microbiology,10.3389/fmicb.2021.631140,"Helicobacter pylori infection in stomach leads to gastric cancer, gastric ulcer, and duodenal ulcer. More than 1 million people die each year due to these diseases, but why most H. pylori-infected individuals remain asymptomatic while a certain proportion develops such severe gastric diseases remained an enigma. Several studies indicated that gastric and intestinal microbiota may play a critical role in the development of the H. pylori-associated diseases. However, no specific microbe in the gastric or intestinal microbiota has been clearly linked to H. pylori infection and related gastric diseases. Here, we studied H. pylori infection, its virulence genes, the intestinal microbiota, and the clinical status of Trivandrum residents (N = 375) in southwestern India by standard H. pylori culture, PCR genotype, Sanger sequencing, and microbiome analyses using Illumina Miseq and Nanopore GridION. Our analyses revealed that gastric colonization by virulent H. pylori strains (vacAs1i1m1cagA+) is necessary but not sufficient for developing these diseases. Conversely, distinct microbial pools exist in the lower gut of the H. pylori-infected vs. H. pylori-non-infected individuals. Bifidobacterium (belonging to the phylum Actinobacteria) and Bacteroides (belonging to the phylum Bacteroidetes) were present in lower relative abundance for the H. pylori+ group than the H. pylori- group (p < 0.05). On the contrary, for the H. pylori+ group, genus Dialister (bacteria belonging to the phylum Firmicutes) and genus Prevotella (bacteria belonging to the phylum Bacteroidetes) were present in higher abundance compared to the H. pylori- group (p < 0.05). Notably, those who carried H. pylori in the stomach and had developed aggressive gastric diseases also had extremely low relative abundance (p < 0.05) of several Bifidobacterium species (e.g., B. adolescentis, B. longum) in the lower gut suggesting a protective role of Bifidobacterium. Our results show the link between lower gastrointestinal microbes and upper gastrointestinal diseases. Moreover, the results are important for developing effective probiotic and early prognosis of severe gastric diseases. © Copyright © 2021 Devi, Devadas, George, Gandhimathi, Chouhan, Retnakumar, Alexander, Varghese, Dharmaseelan, Chandrika, Jissa, Das, Nair and Chattopadhyay.",5.0
"Gong L., Wang B., Zhou Y., Tang L., Zeng Z., Zhang H., Li W.",Protective Effects of Lactobacillus plantarum 16 and Paenibacillus polymyxa 10 Against Clostridium perfringens Infection in Broilers,2021,Frontiers in Immunology,10.3389/fimmu.2020.628374,"This study aimed to investigate the protective effects of Lactobacillus plantarum 16 (Lac16) and Paenibacillus polymyxa 10 (BSC10) against Clostridium perfringens (Cp) infection in broilers. A total of 720 one-day-old chicks were randomly divided into four groups. The control and Cp group were only fed a basal diet, while the two treatment groups received basal diets supplemented with Lac16 (1 × 108 cfu·kg−1) and BSC10 (1 × 108 cfu·kg−1) for 21 days, respectively. On day 1 and days 14 to 20, birds except those in the control group were challenged with 1 × 108 cfu C. perfringens type A strain once a day. The results showed that both Lac16 and BSC10 could ameliorate intestinal structure damage caused by C. perfringens infection. C. perfringens infection induced apoptosis by increasing the expression of Bax and p53 and decreasing Bcl-2 expression and inflammation evidence by higher levels of IFN-γ, IL-6, IL-1β, iNOS, and IL-10 in the ileum mucosa, and NO production in jejunal mucosa, which was reversed by Lac16 and BSC10 treatment except for IL-1β (P &lt; 0.05). Besides, the two probiotics restored the intestinal microbiota imbalance induced by C. perfringens infection, characterized by the reduced Firmicutes and Proteobacteria and the increased Bacteroidetes at the phyla level and decreased Bacteroides fragilis and Gallibacterium anatis at the genus level. The two probiotics also reversed metabolic pathways of the microbiota in C. perfringens-infected broilers, including B-vitamin biosynthesis, peptidoglycan biosynthesis, and pyruvate fermentation to acetate and lactate II pathway. In conclusion, Lac16 and BSC10 can effectively protect broilers against C. perfringens infection through improved composition and metabolic pathways of the intestinal microbiota, intestinal structure, inflammation, and anti-apoptosis. © Copyright © 2021 Gong, Wang, Zhou, Tang, Zeng, Zhang and Li.",4.0
"Chen Y., Yang B., Stanton C., Ross R.P., Zhao J., Zhang H., Chen W.","Bifidobacterium pseudocatenulatum Ameliorates DSS-Induced Colitis by Maintaining Intestinal Mechanical Barrier, Blocking Proinflammatory Cytokines, Inhibiting TLR4/NF-κB Signaling, and Altering Gut Microbiota",2021,Journal of Agricultural and Food Chemistry,10.1021/acs.jafc.0c06329,"This study was designed to explore the effects and discrepancy of different CLA-producing Bifidobacterium pseudocatenulatum on relieving colitis and to investigate the potential mechanisms. B. pseudocatenulatum MY40C and CCFM680 were administered to mice with DSS-induced colitis. The content of tight junction proteins and mucin2 was significantly upregulated. TNF-α and IL-6 were downregulated, while IL-10 and PPAR-γwere upregulated. TLR4/NF-κB pathway activation was significantly inhibited. Moreover, each treated strain increased Allobaculum and decreased Sutterella, Bacteroides, and Oscillospira. The colonic conjugated linoleic acid (CLA) concentrations were significantly and positively correlated with the effectiveness of strain in relieving colitis. In conclusion, MY40C and CCFM680 supplementation alleviated DSS-induced colitis by protecting intestinal mechanical barrier, modulating gut microbiota, blocking proinflammatory cytokines, and inhibiting TLR4/NF-κB pathway. These results are conducive to promote clinical trials and product development of probiotics for colitis. © 2021 American Chemical Society.",12.0
"Qi J., Cai D., Cui Y., Tan T., Zou H., Guo W., Xie Y., Guo H., Chen S.-Y., Ma X., Gou L., Cui H., Geng Y., Zhang M., Ye G., Zhong Z., Ren Z., Hu Y., Wang Y., Deng J., YU S., Cao S., Wanapat M., Fang J., Wang Z., Zuo Z.",Metagenomics Reveals That Intravenous Injection of Beta-Hydroxybutyric Acid (BHBA) Disturbs the Nasopharynx Microflora and Increases the Risk of Respiratory Diseases,2021,Frontiers in Microbiology,10.3389/fmicb.2020.630280,"It is widely accepted that maintenance of microbial diversity is essential for the health of the respiratory tract; however, there are limited reports on the correlation between starvation and respiratory tract microbial diversity. In the present study, saline/β-hydroxybutyric acid (BHBA) intravenous injection after dietary restriction was used to imitate different degrees of starvation. A total of 13 healthy male yaks were imposed to different dietary restrictions and intravenous injections, and their nasopharyngeal microbiota profiles were obtained by metagenomic shotgun sequencing. In healthy yaks, the main dominant phyla were Proteobacteria (33.0%), Firmicutes (22.6%), Bacteroidetes (17.2%), and Actinobacteria (13.2%); the most dominated species was Clostridium botulinum (10.8%). It was found that 9 days of dietary restriction and 2 days of BHBA injection (imitating severe starvation) significantly decreased the microbial diversity and disturbed its structure and functional composition, which increased the risk of respiratory diseases. This study also implied that oral bacteria played an important role in maintaining nasopharynx microbial homeostasis. In this study, the correlation between starvation and nasopharynx microbial diversity and its potential mechanism was investigated for the first time, providing new ideas for the prevention of respiratory diseases. © Copyright © 2021 Qi, Cai, Cui, Tan, Zou, Guo, Xie, Guo, Chen, Ma, Gou, Cui, Geng, Zhang, Ye, Zhong, Ren, Hu, Wang, Deng, YU, Cao, Wanapat, Fang, Wang and Zuo.",1.0
"Pan K., Zhang C., Tian J.",The effects of different modes of delivery on the structure and predicted function of intestinal microbiota in neonates and early infants,2021,Polish Journal of Microbiology,10.33073/PJM-2021-002,"Several studies have shown that an increased risk of metabolic and immune disorders associated with cesarean section mode of delivery may exist. However, such studies have not been conducted in the Chinese population. Stool sample sequencing of the gene encoding the 16S rRNA of 82 prospectively enrolled 3- and 30-42-day-old vaginal and cesarean section delivered newborns was performed to study the composition and predicted function of the intestinal microbiota. In the samples from the 3-day-old neonates, the levels of Escherichia-Shigella in the two groups were similar. The genera Bifidobacterium, Lactobacillus, and Bacteroides were more prominent in the vaginal delivery than in the cesarean section group, which showed a predominance of Staphylococcus, Streptococcus, and Corynebacterium. The differences between the two groups were statistically significant (p< 0.05). In the samples from 30- to 42-day-old infants, Bifidobacterium, Lactobacillus, Escherichia-Shigella, and Bacteroides were the main genera present in the vaginal delivery group, while in the cesarean section delivery group; the predominant genera were Escherichia-Shigella, Bifidobacterium, Bacteroides, and Staphylococcus. Predicted functions of the vaginal delivery group revealed higher metabolic and biodegradation rates of carbohydrates, vitamins, and xenobiotics than those in the cesarean section group, which contributed to the stability of the microbiota in the former. The abundance of probiotic bacteria such as Bifidobacterium and Lactobacillus, and the negative correlation between obesity and Bacteroides presence were higher in vaginally delivered infants than in cesarean-delivered infants at both studied time points. © 2021 Kaiyu Pan et al.",2.0
"Gutiérrez-Repiso C., Molina-Vega M., Bernal-López M.R., Garrido-Sánchez L., García-Almeida J.M., Sajoux I., Moreno-Indias I., Tinahones F.J.",Different weight loss intervention approaches reveal a lack of a common pattern of gut microbiota changes,2021,Journal of Personalized Medicine,10.3390/jpm11020109,"Options for treatment of obesity include dietary approaches and bariatric surgery. Previous studies have shown that weight loss interventions have an impact on gut microbiota. However, a pattern of gut microbiota changes associated with weight loss independently of the type of intervention has not been described yet. This study includes 61 individuals who followed different weight loss strategies in three different trials: 21 followed a hypocaloric Mediterranean diet (MedDiet), 18 followed a very-low-calorie ketogenic diet (VLCKD) and 22 patients underwent sleeve gastrectomy bariatric surgery (BS). Gut microbiota profile was assessed by next-generation sequencing. A common taxon that had significantly changed within the three weight loss interventions could not be find. At the family level, Clostiridiaceae significantly increased its abundance with MedDiet and VLCKD, whilst Porphyromonadacean and Rikenellaceae significantly increased with VLCKD and BS. At genus level, in VLCKD and BS, Parabacteroides and Alistipes significantly increased their abundance whilst Lactobacillus decreased. At the species level, BS and VLCKD produced an increase in Parabacteroides distasonis and a decrease in Eubactierium ventriosum and Lactobacillus rogosae, whilst Orodibacter splanchnicus increased its abundance after the BS and MedDiet. Predicted metagenome analysis suggested that most of the changes after VLCKD were focused on pathways related to biosynthesis and degradation/utilization/assimilation, while BS seems to decrease most of the biosynthesis pathways. MedDiet was enriched in several pathways related to fermentation to short-chain fatty acids. Our results show that weight loss is not associated with a specific pattern of gut microbiota changes independently of the strategy used. Indeed, gut microbiota changes according to type of weight loss intervention. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2.0
"Kanazawa A., Aida M., Yoshida Y., Kaga H., Katahira T., Suzuki L., Tamaki S., Sato J., Goto H., Azuma K., Shimizu T., Takahashi T., Yamashiro Y., Watada H.",Effects of synbiotic supplementation on chronic inflammation and the gut microbiota in obese patients with type 2 diabetes mellitus: A randomized controlled study,2021,Nutrients,10.3390/nu13020558,"The aim of this study was to investigate the effects of 24-week synbiotic supplementation on chronic inflammation and the gut microbiota in obese patients with type 2 diabetes. We randomized 88 obese patients with type 2 diabetes to one of two groups for 24 weeks: control or synbiotic (Lactica-seibacillus paracasei strain Shirota (previously Lactobacillus casei strain Shirota) and Bifidobacterium breve strain Yakult, and galactooligosaccharides). The primary endpoint was the change in interleukin-6 from baseline to 24 weeks. Secondary endpoints were evaluation of the gut microbiota in feces and blood, fecal organic acids, high-sensitivity C-reactive protein, lipopolysaccharide-binding protein, and glycemic control. Synbiotic administration for 24 weeks did not significantly affect changes in interleukin-6 from baseline to 24 weeks (0.35 ± 1.99 vs. −0.24 ± 1.75 pg/mL, respectively). Relative to baseline, however, at 24 weeks after synbiotic administration there were positive changes in the counts of Bifidobacterium and total lactobacilli, the relative abundances of Bifidobacterium species such as Bifidobacterium adolescentis and Bifidobacterium pseudocatenulatum, and the concentrations of acetic and butyric acids in feces. No significant changes in inflammatory markers were found in the synbiotic group compared to the control group. However, synbiotic administration at least partially improved the gut environment in obese patients with type 2 diabetes. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",5.0
"Adamkova P., Hradicka P., Gancarcikova S., Kassayova M., Ambro L., Bertkova I., Maronek M., Iannaccone S.F., Demeckova V.",Single donor fmt reverses microbial/immune dysbiosis and induces clinical remission in a rat model of acute colitis,2021,Pathogens,10.3390/pathogens10020152,"Deviation in the gut microbial composition is involved in various pathologies, including inflammatory bowel disease (IBD). Faecal microbiota transplant (FMT) can act as a promising approach to treat IBD by which changes in microbiome can be reversed and homeostasis restored. Therefore, the aim of this study was to investigate the effect of FMT on the remission of acute inflammatory response using dextran sulfate sodium (DSS)-induced rat colitis model. Faecal microbial communities were analysed using the 16S rRNA approach, and clinical manifestations together with histological/haematological/biochemical/immunological analyses were assessed. Our study demonstrated significant shifts in the dominant species of microbiota under inflammatory conditions induced by DSS and evident restoration effect of FMT treatment on microbial composition. These faecal microbial alterations in FMT-treated rats led to a relative restoration of colon length, and a significant decrease in both epithelium damage and disease severity, which was reflected in lower serum pro-inflammatory cytokine levels. Haematological/biochemical parameters in DSS-treated animals showed signs of anaemia with a significant reduction in red blood cell count together with increasing levels of total bilirubin, creatinine and phosphorus suggesting potential protective effect of FMT. These results support FMT as a valuable therapeutic strategy to control inflammation during acute colitis. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",
"Zhao S., Peng X., Zhou Q.-Y., Huang Y.-Y., Rao X., Tu J.-L., Xiao H.-Y., Liu D.-M.",Bacillus coagulans 13002 and fructo-oligosaccharides improve the immunity of mice with immunosuppression induced by cyclophosphamide through modulating intestinal-derived and fecal microbiota,2021,Food Research International,10.1016/j.foodres.2020.109793,"This study aims to evaluate the effects of probiotic Bacillus coagulans 13,002 (BCS) and prebiotic fructo-oligosaccharides (FOS) on mice treated with the alkylating agent cyclophosphamide (CTX). We found that both BCS and FOS, especially BCS, significantly alleviated CTX-induced injury by modulating intestinal-derived and fecal microbiota. BCS and BCS + FOS increased serum immunoglobulin levels, which were reduced by CTX. In addition, BCS and BCS + FOS upregulated IFN-γ and IL-4, which protect mucosal barriers and the balance of Th1/Th2. BCS promoted the growth of some beneficial bacteria, such as Bacteroides, Coprococcus, Enterococcus, Oscillospira, and Ruminococcus in mouse gut. In addition, BCS + FOS inhibited the growth of several harmful bacteria, including Acinetobacter, Arthrobacter, Brachybacterium, Corynebacterium, Jeotgalicoccus, Sporosarcina, and Staphylococcus. Furthermore, BCS potentially improved the growth of Anaerotruncus bacteria, which can promote the production of butyrate acids. In summary, according our results suggest that BCS and FOS improved the immunity of mice with immunosuppression induced by CTX through modulating intestinal-derived and fecal microbiota. © 2020",9.0
"Tan Y.X., Mok W.K., Chen W.N.",In Vitro Evaluation of Enriched Brewers’ Spent Grains Using Bacillus subtilis WX-17 as Potential Functional Food Ingredients,2021,Applied Biochemistry and Biotechnology,10.1007/s12010-020-03424-5,"Brewers’ spent grains (BSGs) are nutritious food processing by-products generated in the brewing industry. In this study, in vitro digestion-fermentation was employed to examine fermented BSG using Bacillus subtilis WX-17 as functional food ingredients. Insoluble fibers in BSG were converted into soluble fibers after fermentation, giving an increase from 6.13 ± 0.42 to 9.37 ± 0.53 mg/100 g BSG. After in vitro digestion of unfermented and fermented BSG, various nutritional components were found to be higher in fermented BSG. Components such as amino acids and fatty acids gave a concentration of 1.635 ± 0.236 mg/mL and 6.35 ± 0.65 mg/mL, respectively. Additionally, vitamin K2 MK7 was detected in fermented BSG with a concentration of 0.00012 ± 0.000005 mg/mL. Probiotics Bacillus subtilis WX-17 was observed to withstand the in vitro digestion. After in vitro fermentation, various short-chain fatty acids namely acetic acid, propanoic acid, and butyric acid were produced at higher amounts for fermented BSG. The concentrations obtained were 124.11 ± 18.72 mM, 13.18 ± 1.38 mM, and 46.25 ± 7.57 mM respectively. As for gut microbiota profile, differential genera such as Bacteroides and Ruminococcus were detected, showing different effects on the intestinal microbiota. This study demonstrates the potential of using microbial fermentation of underutilized BSG to serve as potential functional food ingredients. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",
"Bach L.L., Ram A., Ijaz U.Z., Evans T.J., Lindström J.",A Longitudinal Study of the Human Oropharynx Microbiota Over Time Reveals a Common Core and Significant Variations With Self-Reported Disease,2021,Frontiers in Microbiology,10.3389/fmicb.2020.573969,"Our understanding of human microbial communities, in particular in regard to diseases is advancing, yet the basic understanding of the microbiome in healthy subjects over time remains limited. The oropharynx is a key target for colonization by several important human pathogens. To understand how the oropharyngeal microbiome might limit infections, and how intercurrent infections might be associated with its composition, we characterized the oropharyngeal microbiome of 18 healthy adults, sampled weekly over a 40-weeks using culture-independent molecular techniques. We detected nine phyla, 202 genera and 1438 assignments on OTU level, dominated by Firmicutes, Bacteroidetes, and Proteobacteria on phylum level. Individual microbiomes of participants were characterized by levels of high alpha diversity (mean = 204.55 OTUs, sd = 35.64), evenness (19.83, sd = 9.74) and high temporal stability (mean Pearson’s correlation between samples of 0.52, sd = 0.060), with greater differences in microbiome community composition between than within individuals. Significant changes in community composition were associated with disease states, suggesting that it is possible to detect specific changes in OTU abundance and community composition during illness. We defined the common core microbiota by varying occurrence and abundance thresholds showing that individual core microbiomes share a substantial number of OTUs across participants, chiefly Streptococci and Veillonella. Our results provide insights into the microbial communities that characterize the healthy human oropharynx, community structure and variability, and provide new approaches to define individual and shared cores. The wider implications of this result include the potential for modeling the general dynamics of oropharynx microbiota both in health and in response to antimicrobial treatments or probiotics. © Copyright © 2021 Bach, Ram, Ijaz, Evans and Lindström.",1.0
"Hansen R., Sanderson I.R., Muhammed R., Allen S., Tzivinikos C., Henderson P., Gervais L., Jeffery I.B., Mullins D.P., O'Herlihy E.A., Weinberg J.D., Kitson G., Russell R.K., Wilson D.C.","A double-blind, placebo-controlled trial to assess safety and tolerability of (thetanix) bacteroides thetaiotaomicron in adolescent crohn's disease",2021,Clinical and Translational Gastroenterology,10.14309/ctg.0000000000000287,"INTRODUCTION: Thetanix (gastroresistant capsules containing lyophilized Bacteroides thetaiotaomicron) is a live biotherapeutic, under development for Crohn's disease, that antagonizes transcription factor nuclear factor kappa B, reducing proinflammatory cytokines, particularly tumor necrosis factor alpha.Weaimed to assess safety and tolerability in adolescents with Crohn's disease in remission. METHODS: Subjects who were 16-18 years with Crohn's in remission (weighted pediatric Crohn's disease activity index <12.5) were recruited. Each active dose comprised ;108.261.4 colony forming units of B. thetaiotaomicron (randomized 4:1 active:placebo). Part A was single dose. Part B involved 7.5 days twice daily dosing. Serial stools were analyzed for calprotectin, 16S rRNA sequencing, and B. thetaiotaomicron real-time polymerase chain reaction. Bloods were taken serially. Subjects reported adverse events and recorded temperature twice daily. RESULTS: Fifteen subjects were treated-8 in part A (75%men, median 17.1 years) and 10 in part B, including 3 from part A (80% men, median 17.1 years); all 18 completed. Seventy percent took concurrent immunosuppression. Reported compliance was >99% in part B. Two subjects reported adverse events deemed related-one in part A with eructation, flatulence, and reflux; one in part B with dizziness, abdominal pain, and headache. No serious adverse events were reported. There was no significant change in median calprotectin across part B (87.8 [4.4-447] to 50.5 [5.3-572], P 5 0.44 by the Fisher exact test in the active group). No significant differences were found in microbiota profiles, but diversity seemed to increase in treated subjects. DISCUSSION: Thetanix, after single and multiple doses, was well tolerated. Although the numbers in this study were small, the safety profile seems good. Future studies should explore efficacy. © 2021 Lippincott Williams and Wilkins. All rights reserved.",3.0
"Salli K., Hirvonen J., Siitonen J., Ahonen I., Anglenius H., Maukonen J.","Selective Utilization of the Human Milk Oligosaccharides 2′-Fucosyllactose, 3-Fucosyllactose, and Difucosyllactose by Various Probiotic and Pathogenic Bacteria",2021,Journal of Agricultural and Food Chemistry,10.1021/acs.jafc.0c06041,"Prebiotic human milk oligosaccharides (HMOs) are found in human milk, which are not digested by infants but are metabolized by beneficial gut bacteria. We determined the ability of 57 bacterial strains within the Family Lactobacillaceae and genera Bifidobacterium and Bacteroides and potentially pathogenic bacteria to ferment the HMOs 2′-fucosyllactose, 3-fucosyllactose, and difucosyllactose. In addition, prebiotic galacto-oligosaccharides (GOS), lactose, fucose, and glucose were evaluated as carbon sources for these bacterial strains. Bacterial growth was monitored using the automatic Bioscreen C system. Only certain bifidobacteria, such as Bifidobacterium longum subsp. infantis and Bifidobacterium bifidum, as well as Bacteroides fragilis, Bacteroides vulgatus, and Bacteroides thetaiotaomicron utilized the studied HMOs as their sole carbon source, whereas almost all studied bacterial strains were able to utilize GOS, lactose, and glucose. The selectivity in utilization of HMOs by only certain bacteria can be advantageous by promoting beneficial microbes but not supporting the harmful pathogens in contrast to other less selective prebiotics. © 2020 The Authors. Published by American Chemical Society.",15.0
